,dias,Curitiba - PR,Fortaleza - CE,Sarandi - RS,Brasília - DF,Bochum - GE
99,2023-04-10,2023-04-10 18:06:00-03:00,2023-04-10 17:36:00-03:00,2023-04-10 18:18:00-03:00,2023-04-10 18:06:00-03:00,2023-04-10 19:18:00-03:00
100,2023-04-11,2023-04-11 18:05:00-03:00,2023-04-11 17:36:00-03:00,2023-04-11 18:17:00-03:00,2023-04-11 18:05:00-03:00,2023-04-11 19:20:00-03:00
101,2023-04-12,2023-04-12 18:04:00-03:00,2023-04-12 17:35:00-03:00,2023-04-12 18:16:00-03:00,2023-04-12 18:04:00-03:00,2023-04-12 19:21:00-03:00
102,2023-04-13,2023-04-13 18:03:00-03:00,2023-04-13 17:35:00-03:00,2023-04-13 18:15:00-03:00,2023-04-13 18:04:00-03:00,2023-04-13 19:23:00-03:00
103,2023-04-14,2023-04-14 18:02:00-03:00,2023-04-14 17:35:00-03:00,2023-04-14 18:14:00-03:00,2023-04-14 18:03:00-03:00,2023-04-14 19:25:00-03:00
104,2023-04-15,2023-04-15 18:01:00-03:00,2023-04-15 17:34:00-03:00,2023-04-15 18:13:00-03:00,2023-04-15 18:02:00-03:00,2023-04-15 19:26:00-03:00
105,2023-04-16,2023-04-16 18:01:00-03:00,2023-04-16 17:34:00-03:00,2023-04-16 18:12:00-03:00,2023-04-16 18:02:00-03:00,2023-04-16 19:28:00-03:00
106,2023-04-17,2023-04-17 18:00:00-03:00,2023-04-17 17:34:00-03:00,2023-04-17 18:11:00-03:00,2023-04-17 18:01:00-03:00,2023-04-17 19:30:00-03:00
107,2023-04-18,2023-04-18 17:59:00-03:00,2023-04-18 17:33:00-03:00,2023-04-18 18:10:00-03:00,2023-04-18 18:01:00-03:00,2023-04-18 19:31:00-03:00
108,2023-04-19,2023-04-19 17:58:00-03:00,2023-04-19 17:33:00-03:00,2023-04-19 18:09:00-03:00,2023-04-19 18:00:00-03:00,2023-04-19 19:33:00-03:00
109,2023-04-20,2023-04-20 17:57:00-03:00,2023-04-20 17:33:00-03:00,2023-04-20 18:08:00-03:00,2023-04-20 17:59:00-03:00,2023-04-20 19:34:00-03:00
110,2023-04-21,2023-04-21 17:56:00-03:00,2023-04-21 17:32:00-03:00,2023-04-21 18:07:00-03:00,2023-04-21 17:59:00-03:00,2023-04-21 19:36:00-03:00
111,2023-04-22,2023-04-22 17:55:00-03:00,2023-04-22 17:32:00-03:00,2023-04-22 18:06:00-03:00,2023-04-22 17:58:00-03:00,2023-04-22 19:38:00-03:00
112,2023-04-23,2023-04-23 17:54:00-03:00,2023-04-23 17:32:00-03:00,2023-04-23 18:05:00-03:00,2023-04-23 17:58:00-03:00,2023-04-23 19:39:00-03:00
113,2023-04-24,2023-04-24 17:53:00-03:00,2023-04-24 17:32:00-03:00,2023-04-24 18:04:00-03:00,2023-04-24 17:57:00-03:00,2023-04-24 19:41:00-03:00
114,2023-04-25,2023-04-25 17:53:00-03:00,2023-04-25 17:31:00-03:00,2023-04-25 18:04:00-03:00,2023-04-25 17:56:00-03:00,2023-04-25 19:43:00-03:00
115,2023-04-26,2023-04-26 17:52:00-03:00,2023-04-26 17:31:00-03:00,2023-04-26 18:03:00-03:00,2023-04-26 17:56:00-03:00,2023-04-26 19:44:00-03:00
116,2023-04-27,2023-04-27 17:51:00-03:00,2023-04-27 17:31:00-03:00,2023-04-27 18:02:00-03:00,2023-04-27 17:55:00-03:00,2023-04-27 19:46:00-03:00
117,2023-04-28,2023-04-28 17:50:00-03:00,2023-04-28 17:31:00-03:00,2023-04-28 18:01:00-03:00,2023-04-28 17:55:00-03:00,2023-04-28 19:48:00-03:00
118,2023-04-29,2023-04-29 17:50:00-03:00,2023-04-29 17:30:00-03:00,2023-04-29 18:00:00-03:00,2023-04-29 17:54:00-03:00,2023-04-29 19:49:00-03:00
119,2023-04-30,2023-04-30 17:49:00-03:00,2023-04-30 17:30:00-03:00,2023-04-30 17:59:00-03:00,2023-04-30 17:54:00-03:00,2023-04-30 19:51:00-03:00
120,2023-05-01,2023-05-01 17:48:00-03:00,2023-05-01 17:30:00-03:00,2023-05-01 17:59:00-03:00,2023-05-01 17:53:00-03:00,2023-05-01 19:53:00-03:00
121,2023-05-02,2023-05-02 17:47:00-03:00,2023-05-02 17:30:00-03:00,2023-05-02 17:58:00-03:00,2023-05-02 17:53:00-03:00,2023-05-02 19:54:00-03:00
